case_id,buyer,seller,energy,amount,buyer_name,seller_name,case_name,owner,parallel_type,type,detail,DT_RowIndex
184,4466,1881,風力能,155,睿能創意股份有限公司,富威電力股份有限公司<br/>北苑風力發電股份有限公司(北苑風力發電廠),北苑風力發電廠,北苑風力發電股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""1881"" data-year=""2022"" data-case=""184"" data-buyer=""4466""><i class=""icon search""></i>詳情</button>",89
346,4466,4182,太陽能,176,睿能創意股份有限公司,天能綠電股份有限公司<br/>辰宇能源股份有限公司(台東大豐段掩埋場地面型太陽能光電案(低壓)),台東大豐段掩埋場地面型太陽能光電案(低壓),辰宇能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""4182"" data-year=""2023"" data-case=""346"" data-buyer=""4466""><i class=""icon search""></i>詳情</button>",176
362,4466,4182,太陽能,1629,睿能創意股份有限公司,天能綠電股份有限公司<br/>辰宇能源股份有限公司(台東大豐段掩埋場地面型太陽能光電案(高壓)),台東大豐段掩埋場地面型太陽能光電案(高壓),辰宇能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""4182"" data-year=""2023"" data-case=""362"" data-buyer=""4466""><i class=""icon search""></i>詳情</button>",188
487,4466,4182,太陽能,13,睿能創意股份有限公司,天能綠電股份有限公司<br/>辰宇能源股份有限公司(彰化埔心鄉公所太平公墓地面型太陽能光電案場),彰化埔心鄉公所太平公墓地面型太陽能光電案場,辰宇能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""4182"" data-year=""2023"" data-case=""487"" data-buyer=""4466""><i class=""icon search""></i>詳情</button>",219
184,4466,1881,風力能,457,睿能創意股份有限公司,富威電力股份有限公司<br/>北苑風力發電股份有限公司(北苑風力發電廠),北苑風力發電廠,北苑風力發電股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""1881"" data-year=""2023"" data-case=""184"" data-buyer=""4466""><i class=""icon search""></i>詳情</button>",290
345,4466,4182,太陽能,23,睿能創意股份有限公司,天能綠電股份有限公司<br/>京承能源股份有限公司(台中八方夜市屋頂型太陽能光電廠),台中八方夜市屋頂型太陽能光電廠,京承能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""4182"" data-year=""2024"" data-case=""345"" data-buyer=""4466""><i class=""icon search""></i>詳情</button>",176
346,4466,4182,太陽能,154,睿能創意股份有限公司,天能綠電股份有限公司<br/>辰宇能源股份有限公司(台東大豐段掩埋場地面型太陽能光電案(低壓)),台東大豐段掩埋場地面型太陽能光電案(低壓),辰宇能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""4182"" data-year=""2024"" data-case=""346"" data-buyer=""4466""><i class=""icon search""></i>詳情</button>",181
362,4466,4182,太陽能,1430,睿能創意股份有限公司,天能綠電股份有限公司<br/>辰宇能源股份有限公司(台東大豐段掩埋場地面型太陽能光電案(高壓)),台東大豐段掩埋場地面型太陽能光電案(高壓),辰宇能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""4182"" data-year=""2024"" data-case=""362"" data-buyer=""4466""><i class=""icon search""></i>詳情</button>",187
487,4466,4182,太陽能,30,睿能創意股份有限公司,天能綠電股份有限公司<br/>辰宇能源股份有限公司(彰化埔心鄉公所太平公墓地面型太陽能光電案場),彰化埔心鄉公所太平公墓地面型太陽能光電案場,辰宇能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""4182"" data-year=""2024"" data-case=""487"" data-buyer=""4466""><i class=""icon search""></i>詳情</button>",224
488,4466,4182,太陽能,31,睿能創意股份有限公司,天能綠電股份有限公司<br/>辰宇能源股份有限公司(彰化埔心鄉公所第五公墓地面型太陽能光電案場),彰化埔心鄉公所第五公墓地面型太陽能光電案場,辰宇能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""4182"" data-year=""2024"" data-case=""488"" data-buyer=""4466""><i class=""icon search""></i>詳情</button>",227
184,4466,1881,風力能,108,睿能創意股份有限公司,富威電力股份有限公司<br/>北苑風力發電股份有限公司(北苑風力發電廠),北苑風力發電廠,北苑風力發電股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""1881"" data-year=""2024"" data-case=""184"" data-buyer=""4466""><i class=""icon search""></i>詳情</button>",296
